Task name, Task description, Start time, End time, Duration,Duration in hours, Note, Category
"Drive - Manual","","Jul 14, 2018 at 10:34:34 PM","Jul 14, 2018 at 10:38:06 PM","00:03:31",0.0588063,"","Driving"
"Drive - Tech Assist","","Jul 14, 2018 at 10:38:06 PM","Jul 14, 2018 at 11:49:16 PM","01:11:10",1.1862142,"","Driving"
"Drive - Manual","","Jul 14, 2018 at 11:49:16 PM","Jul 15, 2018 at 12:15:24 AM","00:26:08",0.4355980,"","Driving"
"Drive - Manual","","Jul 15, 2018 at 12:15:25 AM","Jul 15, 2018 at 12:18:01 AM","00:02:36",0.0433498,"","Driving"
"Drive - Tech Assist","","Jul 15, 2018 at 12:18:02 AM","Jul 15, 2018 at 12:44:04 AM","00:26:02",0.4340354,"","Driving"
"Drive - Manual","","Jul 15, 2018 at 12:44:04 AM","Jul 15, 2018 at 12:45:34 AM","00:01:30",0.0250580,"","Driving"
"Idle","","Jul 15, 2018 at 12:45:34 AM","Jul 15, 2018 at 12:59:04 AM","00:13:29",0.2249810,"","Not Driving"
"Sleep","","Jul 15, 2018 at 12:59:04 AM","Jul 15, 2018 at 5:57:37 AM","04:58:32",4.9756711,"","Not Driving"
"Idle","","Jul 15, 2018 at 5:57:37 AM","Jul 15, 2018 at 6:29:05 AM","00:31:28",0.5245039,"","Not Driving"
"Drive - Tech Assist","","Jul 15, 2018 at 6:29:05 AM","Jul 15, 2018 at 7:38:58 AM","01:09:52",1.1644952,"","Driving"
"Drive - Manual","","Jul 15, 2018 at 7:38:58 AM","Jul 15, 2018 at 7:43:56 AM","00:04:58",0.0829864,"","Driving"
"Idle","","Jul 15, 2018 at 7:43:56 AM","Jul 15, 2018 at 8:01:42 AM","00:17:45",0.2959063,"","Not Driving"
"Charge","","Jul 15, 2018 at 8:01:42 AM","Jul 15, 2018 at 9:54:07 AM","01:52:25",1.8737488,"","Not Driving"
"Drive - Manual","","Jul 15, 2018 at 9:54:07 AM","Jul 15, 2018 at 10:07:00 AM","00:12:52",0.2144479,"","Driving"
"Drive - Tech Assist","","Jul 15, 2018 at 10:07:00 AM","Jul 15, 2018 at 11:31:41 AM","01:24:41",1.4116243,"","Driving"
"Drive - Manual","","Jul 15, 2018 at 11:31:42 AM","Jul 15, 2018 at 11:32:37 AM","00:00:55",0.0153371,"","Driving"
"Drive - Tech Assist","","Jul 15, 2018 at 11:32:37 AM","Jul 15, 2018 at 11:35:54 AM","00:03:17",0.0548387,"","Driving"
"Drive - Manual","","Jul 15, 2018 at 11:35:54 AM","Jul 15, 2018 at 11:39:05 AM","00:03:10",0.0528517,"","Driving"
"Charge","","Jul 15, 2018 at 11:39:05 AM","Jul 15, 2018 at 12:51:55 PM","01:12:50",1.2139394,"","Not Driving"
"Drive - Manual","","Jul 15, 2018 at 12:51:55 PM","Jul 15, 2018 at 12:51:55 PM","00:00:00",0.0000734,"","Driving"
"Drive - Manual","","Jul 15, 2018 at 12:51:56 PM","Jul 15, 2018 at 1:02:36 PM","00:10:39",0.1776620,"","Driving"
"Drive - Tech Assist","","Jul 15, 2018 at 1:02:36 PM","Jul 15, 2018 at 2:05:14 PM","01:02:37",1.0438827,"","Driving"
"Drive - Manual","","Jul 15, 2018 at 2:05:14 PM","Jul 15, 2018 at 2:20:04 PM","00:14:49",0.2471625,"","Driving"
"Drive - Tech Assist","","Jul 15, 2018 at 2:20:04 PM","Jul 15, 2018 at 2:25:36 PM","00:05:32",0.0922616,"","Driving"
"Drive - Manual","","Jul 15, 2018 at 2:25:36 PM","Jul 15, 2018 at 2:28:32 PM","00:02:55",0.0487769,"","Driving"
"Drive - Tech Assist","","Jul 15, 2018 at 2:28:32 PM","Jul 15, 2018 at 2:36:43 PM","00:08:10",0.1363244,"","Driving"
"Drive - Manual","","Jul 15, 2018 at 2:36:43 PM","Jul 15, 2018 at 2:41:34 PM","00:04:51",0.0809007,"","Driving"
"Drive - Tech Assist","","Jul 15, 2018 at 2:41:34 PM","Jul 15, 2018 at 3:39:13 PM","00:57:38",0.9607184,"","Driving"
"Drive - Manual","","Jul 15, 2018 at 3:39:13 PM","Jul 15, 2018 at 3:45:59 PM","00:06:46",0.1128611,"","Driving"
"Charge","","Jul 15, 2018 at 3:46:00 PM","Jul 15, 2018 at 4:14:37 PM","00:28:37",0.4772185,"","Not Driving"
"Drive - Manual","","Jul 15, 2018 at 4:14:38 PM","Jul 15, 2018 at 4:18:00 PM","00:03:21",0.0560894,"","Driving"
"Drive - Tech Assist","","Jul 15, 2018 at 4:33:53 PM","Jul 15, 2018 at 5:10:21 PM","00:36:27",0.6077134,"","Driving"
"Drive - Manual","","Jul 15, 2018 at 5:10:21 PM","Jul 15, 2018 at 5:47:37 PM","00:37:15",0.6210079,"","Driving"
"Drive - Manual","","Jul 17, 2018 at 6:03:00 AM","Jul 17, 2018 at 6:18:27 AM","00:15:27",0.2575285,"","Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 6:18:27 AM","Jul 17, 2018 at 6:22:58 AM","00:04:31",0.0753222,"","Driving"
"Drive - Manual","","Jul 17, 2018 at 6:22:58 AM","Jul 17, 2018 at 6:24:08 AM","00:01:10",0.0195288,"","Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 6:24:08 AM","Jul 17, 2018 at 6:26:26 AM","00:02:18",0.0383357,"","Driving"
"Drive - Manual","","Jul 17, 2018 at 6:26:27 AM","Jul 17, 2018 at 6:26:51 AM","00:00:24",0.0066883,"","Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 6:26:51 AM","Jul 17, 2018 at 6:43:04 AM","00:16:13",0.2703975,"","Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 6:43:04 AM","Jul 17, 2018 at 7:07:33 AM","00:24:28",0.4079082,"","Driving"
"Idle","","Jul 17, 2018 at 7:07:34 AM","Jul 17, 2018 at 7:07:34 AM","00:00:00",0.0000996,"","Not Driving"
"Idle","","Jul 17, 2018 at 7:07:35 AM","Jul 17, 2018 at 7:13:24 AM","00:05:48",0.0968884,"","Not Driving"
"Drive - Manual","","Jul 17, 2018 at 7:13:24 AM","Jul 17, 2018 at 7:20:02 AM","00:06:38",0.1106297,"","Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 7:20:02 AM","Jul 17, 2018 at 7:38:04 AM","00:18:02",0.3006638,"","Driving"
"Idle","","Jul 17, 2018 at 7:38:05 AM","Jul 17, 2018 at 7:44:00 AM","00:05:54",0.0986039,"","Not Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 7:44:00 AM","Jul 17, 2018 at 8:07:20 AM","00:23:20",0.3889765,"","Driving"
"Drive - Manual","","Jul 17, 2018 at 8:07:20 AM","Jul 17, 2018 at 8:15:19 AM","00:07:59",0.1331251,"","Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 8:15:19 AM","Jul 17, 2018 at 10:17:25 AM","02:02:06",2.0350322,"","Driving"
"Drive - Manual","","Jul 17, 2018 at 10:17:26 AM","Jul 17, 2018 at 10:19:07 AM","00:01:41",0.0282483,"","Driving"
"Idle","","Jul 17, 2018 at 10:19:07 AM","Jul 17, 2018 at 10:47:33 AM","00:28:25",0.4737027,"","Not Driving"
"Charge","","Jul 17, 2018 at 10:47:33 AM","Jul 17, 2018 at 11:16:56 AM","00:29:23",0.4898514,"","Not Driving"
"Idle","","Jul 17, 2018 at 11:16:56 AM","Jul 17, 2018 at 11:18:41 AM","00:01:44",0.0290631,"","Not Driving"
"Drive - Manual","","Jul 17, 2018 at 11:18:41 AM","Jul 17, 2018 at 11:26:43 AM","00:08:02",0.1339514,"","Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 11:26:43 AM","Jul 17, 2018 at 2:27:18 PM","03:00:34",3.0096080,"","Driving"
"Drive - Manual","","Jul 17, 2018 at 2:27:18 PM","Jul 17, 2018 at 2:30:51 PM","00:03:33",0.0591810,"","Driving"
"Idle","","Jul 17, 2018 at 2:30:52 PM","Jul 17, 2018 at 2:36:31 PM","00:05:38",0.0940473,"","Not Driving"
"Charge","","Jul 17, 2018 at 2:36:31 PM","Jul 17, 2018 at 3:14:31 PM","00:38:00",0.6333378,"","Not Driving"
"Drive - Manual","","Jul 17, 2018 at 3:14:31 PM","Jul 17, 2018 at 3:17:48 PM","00:03:16",0.0545901,"","Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 3:17:48 PM","Jul 17, 2018 at 4:02:05 PM","00:44:17",0.7381090,"","Driving"
"Drive - Manual","","Jul 17, 2018 at 4:02:05 PM","Jul 17, 2018 at 4:16:37 PM","00:14:31",0.2421652,"","Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 4:16:37 PM","Jul 17, 2018 at 4:31:08 PM","00:14:31",0.2419527,"","Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 4:31:08 PM","Jul 17, 2018 at 5:17:41 PM","00:46:32",0.7757639,"","Driving"
"Drive - Manual","","Jul 17, 2018 at 5:17:42 PM","Jul 17, 2018 at 5:37:26 PM","00:19:44",0.3291160,"","Driving"
"Charge","","Jul 17, 2018 at 5:37:27 PM","Jul 17, 2018 at 5:54:38 PM","00:17:11",0.2865585,"","Not Driving"
"Drive - Manual","","Jul 17, 2018 at 5:54:38 PM","Jul 17, 2018 at 5:59:57 PM","00:05:19",0.0886165,"","Driving"
"Idle","","Jul 17, 2018 at 5:59:57 PM","Jul 17, 2018 at 6:27:00 PM","00:27:02",0.4505783,"","Not Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 6:27:00 PM","Jul 17, 2018 at 7:45:30 PM","01:18:30",1.3083759,"","Driving"
"Idle","","Jul 17, 2018 at 7:45:30 PM","Jul 17, 2018 at 7:46:22 PM","00:00:52",0.0145559,"","Not Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 7:46:22 PM","Jul 17, 2018 at 8:16:22 PM","00:29:59",0.4998290,"","Driving"
"Drive - Manual","","Jul 17, 2018 at 8:16:22 PM","Jul 17, 2018 at 8:18:20 PM","00:01:58",0.0328250,"","Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 8:18:20 PM","Jul 17, 2018 at 8:52:31 PM","00:34:11",0.5697596,"","Driving"
"Drive - Manual","","Jul 17, 2018 at 8:52:31 PM","Jul 17, 2018 at 8:59:34 PM","00:07:03",0.1175302,"","Driving"
"Drive - Tech Assist","","Jul 17, 2018 at 8:59:35 PM","Jul 17, 2018 at 9:03:55 PM","00:04:20",0.0723211,"","Driving"
"Drive - Manual","","Jul 17, 2018 at 9:03:55 PM","Jul 17, 2018 at 9:05:32 PM","00:01:37",0.0270625,"","Driving"
"Drive - Manual","","Jul 19, 2018 at 6:37:00 AM","Jul 19, 2018 at 6:45:00 AM","00:08:00",0.1333333,"","Driving"
"Drive - Tech Assist","","Jul 19, 2018 at 6:45:00 AM","Jul 19, 2018 at 10:47:18 AM","04:02:18",4.0384704,"","Driving"
"Drive - Manual","","Jul 19, 2018 at 10:47:18 AM","Jul 19, 2018 at 10:49:36 AM","00:02:17",0.0382452,"","Driving"
"Idle","","Jul 19, 2018 at 10:49:36 AM","Jul 19, 2018 at 10:51:58 AM","00:02:22",0.0394662,"","Not Driving"
"Charge","","Jul 19, 2018 at 10:51:58 AM","Jul 19, 2018 at 11:51:24 AM","00:59:25",0.9903771,"","Not Driving"
"Idle","","Jul 19, 2018 at 11:51:24 AM","Jul 19, 2018 at 11:56:39 AM","00:05:15",0.0875610,"","Not Driving"
"Drive - Manual","","Jul 19, 2018 at 11:56:39 AM","Jul 19, 2018 at 12:03:58 PM","00:07:18",0.1216888,"","Driving"
"Drive - Tech Assist","","Jul 19, 2018 at 12:03:58 PM","Jul 19, 2018 at 1:58:50 PM","01:54:52",1.9146373,"","Driving"
"Drive - Manual","","Jul 19, 2018 at 1:58:51 PM","Jul 19, 2018 at 1:59:50 PM","00:00:59",0.0164229,"","Driving"
"Drive - Tech Assist","","Jul 19, 2018 at 1:59:50 PM","Jul 19, 2018 at 3:43:50 PM","01:44:00",1.7334867,"","Driving"
"Drive - Manual","","Jul 19, 2018 at 3:43:51 PM","Jul 19, 2018 at 3:46:08 PM","00:02:17",0.0382107,"","Driving"
"Idle","","Jul 19, 2018 at 3:46:08 PM","Jul 19, 2018 at 3:48:24 PM","00:02:15",0.0376679,"","Not Driving"
"Charge","","Jul 19, 2018 at 3:48:24 PM","Jul 19, 2018 at 4:12:11 PM","00:23:46",0.3962674,"","Not Driving"
"Drive - Manual","","Jul 19, 2018 at 4:12:11 PM","Jul 19, 2018 at 4:17:30 PM","00:05:19",0.0887152,"","Driving"
"Drive - Tech Assist","","Jul 19, 2018 at 4:17:30 PM","Jul 19, 2018 at 4:57:27 PM","00:39:57",0.6658568,"","Driving"
"Drive - Manual","","Jul 19, 2018 at 4:57:28 PM","Jul 19, 2018 at 5:07:44 PM","00:10:16",0.1712384,"","Driving"
"Charge","","Jul 19, 2018 at 5:07:44 PM","Jul 19, 2018 at 6:04:27 PM","00:56:42",0.9452701,"","Not Driving"
"Drive - Manual","","Jul 19, 2018 at 6:04:00 PM","Jul 19, 2018 at 6:09:00 PM","00:05:00",0.0833333,"","Driving"
"Drive - Tech Assist","","Jul 19, 2018 at 6:09:00 PM","Jul 19, 2018 at 7:26:39 PM","01:17:39",1.2944191,"","Driving"
"Drive - Manual","","Jul 19, 2018 at 7:26:40 PM","Jul 19, 2018 at 7:27:49 PM","00:01:09",0.0193538,"","Driving"
"Drive - Tech Assist","","Jul 19, 2018 at 7:27:49 PM","Jul 19, 2018 at 7:27:50 PM","00:00:00",0.0001643,"","Driving"
"Drive - Tech Assist","","Jul 19, 2018 at 7:27:50 PM","Jul 19, 2018 at 8:37:52 PM","01:10:01",1.1670226,"","Driving"
"Drive - Manual","","Jul 19, 2018 at 8:37:52 PM","Jul 19, 2018 at 8:43:23 PM","00:05:30",0.0918630,"","Driving"
"Drive - Manual","","Jul 23, 2018 at 7:06:00 AM","Jul 23, 2018 at 7:21:00 AM","00:15:00",0.2500000,"","Driving"
"Drive - Tech Assist","","Jul 23, 2018 at 7:21:00 AM","Jul 23, 2018 at 10:47:38 AM","03:26:38",3.4439034,"","Driving"
"Charge","","Jul 23, 2018 at 10:47:38 AM","Jul 23, 2018 at 11:29:29 AM","00:41:50",0.6974464,"","Not Driving"
"Idle","","Jul 23, 2018 at 11:29:29 AM","Jul 23, 2018 at 11:36:54 AM","00:07:24",0.1236078,"","Not Driving"
"Drive - Manual","","Jul 23, 2018 at 11:36:54 AM","Jul 23, 2018 at 11:41:25 AM","00:04:31",0.0752968,"","Driving"
"Drive - Tech Assist","","Jul 23, 2018 at 11:41:25 AM","Jul 23, 2018 at 2:51:10 PM","03:09:45",3.1625248,"","Driving"
"Drive - Manual","","Jul 23, 2018 at 2:51:10 PM","Jul 23, 2018 at 2:58:26 PM","00:07:16",0.1211788,"","Driving"
"Charge","","Jul 23, 2018 at 2:58:27 PM","Jul 23, 2018 at 3:43:56 PM","00:45:29",0.7582000,"","Not Driving"
"Drive - Manual","","Jul 23, 2018 at 3:43:56 PM","Jul 23, 2018 at 3:50:51 PM","00:06:54",0.1151204,"","Driving"
"Drive - Tech Assist","","Jul 23, 2018 at 3:50:51 PM","Jul 23, 2018 at 5:43:09 PM","01:52:18",1.8717800,"","Driving"
"Drive - Manual","","Jul 23, 2018 at 5:43:09 PM","Jul 23, 2018 at 5:46:52 PM","00:03:42",0.0619351,"","Driving"
"Drive - Manual","","Jul 24, 2018 at 7:51:51 AM","Jul 24, 2018 at 7:57:03 AM","00:05:11",0.0866524,"","Driving"
"Drive - Tech Assist","","Jul 24, 2018 at 7:57:03 AM","Jul 24, 2018 at 8:01:50 AM","00:04:46",0.0796838,"","Driving"
"Charge","","Jul 24, 2018 at 8:01:50 AM","Jul 24, 2018 at 8:22:01 AM","00:20:11",0.3364148,"","Not Driving"
"Idle","","Jul 24, 2018 at 8:22:01 AM","Jul 24, 2018 at 8:24:14 AM","00:02:12",0.0367049,"","Not Driving"
"Drive - Manual","","Jul 24, 2018 at 8:24:14 AM","Jul 24, 2018 at 8:31:07 AM","00:06:53",0.1149110,"","Driving"
"Drive - Tech Assist","","Jul 24, 2018 at 8:31:07 AM","Jul 24, 2018 at 10:17:34 AM","01:46:26",1.7741341,"","Driving"
"Drive - Manual","","Jul 24, 2018 at 10:17:35 AM","Jul 24, 2018 at 10:23:51 AM","00:06:16",0.1044832,"","Driving"
"Charge","","Jul 24, 2018 at 10:23:51 AM","Jul 24, 2018 at 11:09:00 AM","00:45:08",0.7524242,"","Not Driving"
"Drive - Manual","","Jul 24, 2018 at 11:09:00 AM","Jul 24, 2018 at 11:18:26 AM","00:09:26",0.1574252,"","Driving"
"Drive - Tech Assist","","Jul 24, 2018 at 11:18:26 AM","Jul 24, 2018 at 12:37:34 PM","01:19:07",1.3188835,"","Driving"
"Drive - Manual","","Jul 24, 2018 at 12:37:34 PM","Jul 24, 2018 at 12:46:06 PM","00:08:31",0.1421217,"","Driving"
"Idle","","Jul 24, 2018 at 12:46:06 PM","Jul 24, 2018 at 1:42:45 PM","00:56:38",0.9441061,"","Not Driving"
"Idle","","Jul 24, 2018 at 1:42:45 PM","Jul 24, 2018 at 2:05:09 PM","00:22:24",0.3734189,"Driving through Olympia","Not Driving"
"Drive - Manual","","Jul 24, 2018 at 2:05:10 PM","Jul 24, 2018 at 2:15:04 PM","00:09:54",0.1652106,"","Driving"
"Drive - Tech Assist","","Jul 24, 2018 at 2:15:04 PM","Jul 24, 2018 at 2:18:19 PM","00:03:14",0.0540963,"","Driving"
"Drive - Manual","","Jul 24, 2018 at 2:18:19 PM","Jul 24, 2018 at 2:20:46 PM","00:02:26",0.0407516,"","Driving"
"Drive - Tech Assist","","Jul 24, 2018 at 2:20:46 PM","Jul 24, 2018 at 3:23:40 PM","01:02:54",1.0483817,"","Driving"
"Drive - Manual","","Jul 24, 2018 at 3:23:40 PM","Jul 24, 2018 at 3:27:48 PM","00:04:07",0.0688424,"","Driving"
